,city name,lat,temp,humidity,temp max,cloudiness,wind speed,lon
0,cabo san lucas,22.89,61.0,87,63.0,5,14.99,-109.91
1,busselton,-33.65,60.21,58,64.0,100,10.51,115.33
2,adrar,20.5,82.96,25,82.96,80,15.77,-10.07
3,ribeira grande,38.52,64.4,93,64.4,75,11.41,-28.7
4,avarua,-21.21,75.2,83,75.2,0,3.36,-159.78
5,portland,45.52,47.26,85,50.0,91,4.85,-122.68
6,ushuaia,-54.8,45.86,34,50.0,75,17.22,-68.3
7,albany,42.6,33.44,89,35.01,100,6.31,-73.97
8,tongzi,28.78,66.78,62,66.78,56,2.15,105.09
9,punta arenas,-53.15,39.85,80,41.0,8,13.87,-70.92
10,severo-kurilsk,50.68,31.01,93,31.01,0,10.89,156.12
11,ucluelet,48.93,46.09,93,48.99,90,2.24,-125.55
12,ponta delgada,37.73,62.6,77,62.6,20,11.41,-25.67
13,russell,32.35,66.78,88,68.0,90,4.7,-85.2
14,aklavik,68.22,32.0,98,32.0,75,4.7,-135.01
15,suslovo,56.22,50.47,46,50.47,0,8.03,88.12
16,new norfolk,-42.78,45.66,82,48.0,89,3.71,147.06
17,qaanaaq,77.48,13.01,78,13.01,4,7.38,-69.36
18,bonthe,7.53,85.86,68,85.86,100,10.09,-12.51
19,progreso,21.28,77.31,88,79.0,75,11.41,-89.67
20,hermanus,-34.42,88.45,28,89.01,9,5.01,19.23
21,ahuimanu,21.44,73.18,54,78.8,20,6.93,-157.84
22,vysokogornyy,50.12,34.52,75,34.52,58,3.44,139.15
23,cherskiy,68.75,-2.16,88,-2.16,7,7.4,161.3
24,rikitea,-23.12,76.87,69,76.87,2,5.64,-134.97
25,morondava,-20.28,87.98,48,87.98,0,4.47,44.28
26,petropavlovka,50.61,39.94,50,39.94,99,7.63,105.32
27,ayorou,14.73,107.28,6,107.28,0,16.15,0.92
28,tasiilaq,65.61,33.8,80,33.8,75,18.34,-37.64
29,longyearbyen,78.22,33.8,69,33.8,75,4.7,15.64
30,ekhabi,53.51,19.26,93,19.26,74,3.47,142.97
31,chokurdakh,70.63,-12.87,86,-12.87,0,5.55,147.92
32,fairbanks,64.84,36.14,100,37.0,90,4.7,-147.72
